wikidata,label
Q3205730,"The Siege of Pinchgut (Harry Watt, 1959)"
Q7460671,"Shadow of the Boomerang (Dick Ross, 1960)"
Q1198545,"The Sundowners (Fred Zinnemann, 1960)"
Q4997601,"Bungala Boys (Jim Jeffrey, 1961)"
Q7783711,"They Found a Cave (Andrew Steane, 1962)"
Q5129821,"Clay (Giorgio Mangiamele, 1965)"
Q1004363,"Funny Things Happen Down Under (Joe McCormick, 1965)"
Q7783640,"They're a Weird Mob (Michael Powell, 1966)"
Q7758708,"The Pudding Thieves (Brian Davies, 1967)"
Q12125270,"Journey Out of Darkness (James Trainor, 1967)"
Q87203764,"Time In Summer (Ludwik Dutkiewicz, 1968)"
Q17036710,"The Drifting Avenger (Junya Satō, 1968)"
Q16963252,"Moeru Tairiku (Shōgorō Nishimura, 1968)"
Q8057049,"You Can't See 'round Corners (David Cahill, 1969)"
Q4691874,"Age of Consent (Michael Powell, 1969)"
Q4597966,"2000 Weeks (Tim Burstall, 1969)"
Q16997392,"It Takes All Kinds (Eddie Davis, 1969)"
Q7742391,"The Intruders (Lee Robinson, 1969)"
Q7763401,"The Set (Frank Brittain, 1970)"
Q7582212,"Squeeze a Flower (Marc Daniels, 1970)"
Q12125196,"Jack and Jill: A Postscript (Phillip Adams, 1970)"
Q5148562,"Color Me Dead (Eddie Davis, 1969)"
Q7062802,"Nothing Like Experience (Peter Carmody, 1970)"
Q3281502,"Adam's Woman (Philip Leacock, 1970)"
Q4900017,"Beyond Reason (Giorgio Mangiamele, 1970)"
Q5245148,"Dead Easy (Nigel Buesst, 1970)"
Q3112204,"Ned Kelly (Tony Richardson, 1970)"
Q7621408,"Strange Holiday (Mende Brown, 1970)"
Q6650565,"Little Jungle Boy (Mende Brown, 1970)"
Q7753012,"The Naked Bunyip (John B. Murray, 1970)"
Q7711221,"That Lady from Peking (Eddie Davis, 1969)"
Q12128666,"Sympathy in Summer (Antony I. Ginnane, 1971)"
Q7798017,"Three to Go (Brian Hannant/Peter Weir, 1971)"
Q7028273,"Nickel Queen (John McCallum, 1971)"
Q5256327,"Demonstrator (Warwick Freeman, 1971)"
Q3417503,"Homesdale (Peter Weir, 1971)"
Q5177448,"Country Town (Peter Maxwell, 1971)"
Q1342653,"Walkabout (Nicolas Roeg, 1971)"
Q7961003,"Wake in Fright (Ted Kotcheff, 1971)"
Q4753453,And the Word Was Made Flesh (1972)
Q4942103,"Bonjour Balwyn (Nigel Buesst, 1971)"
Q7617927,"Stockade (Hans Pomeranz/Ross McGregor, 1971)"
Q7620062,"Stork (Tim Burstall, 1971)"
Q2894960,"A Girl in Australia (Luigi Zampa, 1971)"
Q4655932,"A City's Child (Brian Kavanagh, 1972)"
Q7498866,"Shirley Thompson vs. the Aliens (Jim Sharman, 1972)"
Q7246061,"Private Collection (Keith Salvat, 1972)"
Q7712494,"The Adventures of Barry McKenzie (Bruce Beresford, 1972)"
Q7754723,"The Office Picnic (Tom Cowan, 1972)"
Q7641656,"Sunstruck (James Gilbert, 1972)"
Q6757681,"Marco Polo Junior Versus the Red Dragon (Eric Porter, 1972)"
Q5457663,"Flashpoint (Brian Hannant, 1972)"
Q5533689,"Gentle Strangers (Cecil Holmes, 1972)"
Q7033649,"Night of Fear (Terry Bourke, 1972)"
Q6542266,"Libido (Fred Schepisi/John B. Murray/Tim Burstall, 1973)"
Q117457083,The Sabbat Of The Black Cat
Q19870676,An Essay on Pornography (1973)
Q6684450,"Lost in the Bush (Peter Dodds, 1973)"
Q5293358,"Don Quixote (Rudolf Nureyev, 1973)"
Q5151242,"Come Out Fighting (Nigel Buesst, 1973)"
Q4828080,"Avengers of the Reef (Chris McCullough, 1973)"
Q5211523,"Dalmas (Bert Deling, 1973)"
Q4738201,"Alvin Purple (Tim Burstall, 1972)"
Q6927077,"Moving On (Richard Mason, 1974)"
Q117457074,Matchless
Q104875997,Number 96 (1974)
Q4632540,"27A (Esben Storm, 1974)"
Q926678,"The Cars That Ate Paris (Peter Weir, 1974)"
Q7618838,"Stone (Sandy Harbutt, 1974)"
Q8046466,"Yackety Yack (Dave Jones, 1974)"
Q7178200,"Petersen (Tim Burstall, 1974)"
Q4899130,"Between Wars (Michael Thornhill, 1974)"
Q4738206,"Alvin Rides Again (David Bilcock/Robin Copping, 1974)"
Q4864500,"Barry McKenzie Holds His Own (Bruce Beresford, 1974)"
Q7748903,"The Love Epidemic (Brian Trenchard-Smith, 1975)"
Q7734059,"The Firm Man (John Duigan, 1975)"
Q7249802,"Promised Woman (Tom Cowan, 1975)"
Q12129827,"The True Story of Eskimo Nell (Richard Franklin, 1975)"
Q7508363,"Sidecar Racers (Earl Bellamy, 1975)"
Q3503837,"Sunday Too Far Away (Ken Hannam, 1975)"
Q7750035,"The Man from Hong Kong (Brian Trenchard-Smith, 1974)"
Q7737838,"The Great Macarthy (David Baker, 1975)"
Q104875525,The Box (1975)
Q1421747,"Picnic at Hanging Rock (Peter Weir, 1975)"
Q7261128,"Pure Shit (Bert Deling, 1975)"
Q15039748,"The Golden Cage (Ayten Kuyululu Ürkmez, 1975)"
Q16963692,"How Willingly You Sing (Gary Patterson, 1975)"
Q5303019,"Down the Wind (Scott Hicks, 1975)"
Q7205267,"Plugg (Terry Bourke, 1975)"
Q7434226,"Scobie Malone (Terry Ohlsson, 1975)"
Q7760180,"The Removalists (Tom Jeffrey, 1975)"
Q117457057,Solo Flight (1975)
Q7251254,"Protected (Alessandro Cavadini, 1975)"
Q6035127,"Inn of the Damned (Terry Bourke, 1975)"
Q7070534,"Nuts, Bolts and Bedroom Springs (1975)"
Q117457036,The Lost Islands
Q7332514,"Ride a Wild Pony (Don Chaffey, 1975)"
Q5375802,"End Play (Tim Burstall, 1975)"
Q5016297,"Caddie (Donald Crombie, 1976)"
Q6000394,"Illuminations (Paul Cox, 1976)"
Q4898722,"Betty Blokk-buster Follies (Doug Livermore/Peter Batey, 1976)"
Q1257078,"Mad Dog Morgan (Philippe Mora, 1976)"
Q7735084,"The Fourth Wish (Don Chaffey, 1976)"
Q5434158,"Fantasm (Richard Franklin, 1976)"
Q7270879,"Queensland (John Ruane, 1976)"
