item,title,director,year
446,Inn Of The Damned,Terry Bourke,1975
447,"Nuts, Bolts And Bedroom Springs",Gary Young,1975
448,The Lost Islands,Bill Hughes,1975
449,Ride A Wild Pony,Don Chaffey,1975
450,End Play,Tim Burstall,1976
451,Caddie,Donald Crombie,1976
452,Illuminations,Paul Cox,1976
453,Betty Blokk-Buster Follies,Peter Batey,1976
454,Mad Dog Morgan,Philippe Mora,1976
455,The Fourth Wish,Don Chaffey,1976
456,Fantasm,Richard Franklin,1976
457,Queensland,John Ruane,1976
458,Oz,Chris Lofven,1976
459,The Devil's Playground,Fred Schepisi,1976
460,The Trespassers,John Duigan,1976
461,Surrender In Paradise,Peter Cox,1976
462,Don's Party,Bruce Beresford,1976
463,Storm Boy,Henri Safran,1976
464,Barney,David Waddington,1976
465,Deathcheaters,Brian Trenchard Smith,1976
466,Eliza Fraser,Tim Burstall,1976
467,Let The Balloon Go,Oliver Howes,1976
468,Summer Of Secrets,Jim Sharman,1976
469,Break Of Day,Ken Hannam,1976
470,Raw Deal,Russell Hagg,1977
471,The Singer And The Dancer,Gillian Armstrong,1977
472,The FJ Holden,Michael Thornhill,1977
473,The Picture Show Man,John Power,1977
474,Backroads,Phillip Noyce,1977
475,Out Of It,Ken Cameron,1977
476,The Love-Letters From Teralba Road,Stephen Wallace,1977
477,High Rolling,Igor Auzins,1977
478,The Getting Of Wisdom,Bruce Beresford,1977
479,Journey Among Women,Tom Cowan,1977
480,Listen To The Lion,Henri Safran,1977
481,Summerfield,Ken Hannam,1977
482,Inside Looking Out,Paul Cox,1977
483,Blue Fire Lady,Ross Dimsey,1977
484,The Mango Tree,Kevin Dobson,1977
485,Dot And The Kangaroo,Yoram Gross,1977
486,The Last Wave,Peter Weir,1977
487,Summer City,Christopher Fraser,1977
488,Fantasm Comes Again,Colin Eggleston,1977
